index,exact_value
270,4.123286180119135
271,4.028814673123369
272,4.10099069217628
273,4.052759031336157
274,3.9334830478720515
275,3.8047592762746243
276,3.791252858125587
277,3.7772857681690537
278,3.65915794084441
279,3.4812441555653457
280,3.247579579686503
281,2.9472085199006126
282,2.5320210811061035
283,2.076758410746107
284,1.92114271291713
285,2.15441895383655
286,2.564785511776369
287,2.8912672781465973
288,3.0577882894818282
289,3.168783263608868
290,3.141844870454104
291,3.0963566763348354
292,2.8594166447547495
293,2.8261408211550476
294,2.8277259106324864
295,3.03319087555547
296,3.0943873058227593
297,3.1749276117558973
298,3.2151098517626897
299,3.2822518862199064
300,3.4496815310650497
301,3.624113678159004
302,3.7887031894411596
303,3.8805161499139134
304,4.0249978359209235
305,4.208230466097193
306,4.386013282248423
307,4.485426369105987
308,4.516392564530462
309,4.484632841956345
310,4.41861581005065
311,4.232173364211272
312,3.9605739716136976
313,3.5148384386832414
314,3.287327643082376
315,3.181375789893449
316,3.3122241768339675
317,3.4434114341101427
318,3.7671346147878557
319,4.05746493410086
320,4.268853917108783
321,4.33036073959444
322,4.3604928230237485
323,4.329532138515715
324,4.2904674492891255
325,4.1324836770388815
326,3.843711706111699
327,3.387697179729972
328,2.867304607728006
329,2.522266410173726
330,2.450023777147258
331,2.525244712875825
332,2.602739902880177
333,2.504777396501102
334,2.2780681082910474
335,1.9611906279714837
336,1.9472137542746955
337,2.203107841666109
338,2.60497707040256
339,2.940921340176296
340,3.1173688065436522
341,3.1118670797709576
342,3.004581014423053
343,2.8630269784910505
344,2.764173403121884
345,2.663767288963885
346,2.7923321975631
347,3.086622248432301
348,3.4078419348342366
349,3.6251431118202135
350,3.8315179551118588
351,4.0125405276918755
352,4.168378349574094
353,4.265596961145938
354,4.30978759270908
355,4.356846867548688
356,4.373255513720459
357,4.408969086464137
358,4.397346332427471
359,4.412885239423528
360,4.407043377728209
361,4.401115581020667
362,4.312777324684298
363,4.119286273829644
364,3.82783717881501
365,3.4939292068395122
366,3.4578551529367445
367,3.6026296393174646
368,3.7955759670342966
369,3.859827671400217
370,3.951764067919323
371,4.145353891594716
372,4.341081270580393
373,4.455013528311297
374,4.4707578375611225
375,4.452039456375422
